order, n, time, comps, swaps
ordered, 100, 0.000001, 99, 0
ordered, 1000, 0.000002, 999, 0
ordered, 10000, 0.000020, 9999, 0
reversed, 100, 0.000021, 4950, 4950
reversed, 1000, 0.001981, 499500, 499500
reversed, 10000, 0.207011, 49995000, 49995000
randomized, 100, 0.000022, 4850, 2417
randomized, 1000, 0.001752, 498586, 248661
randomized, 10000, 0.191942, 49981236, 24943253
