order, n, time, comps, swaps
ordered, 100, 0.000004, 0, 0
ordered, 1000, 0.000010, 0, 0
ordered, 10000, 0.000100, 0, 0
ordered, 100000, 0.000990, 0, 0
reversed, 100, 0.000006, 1030, 1205
reversed, 1000, 0.000434, 100300, 102095
reversed, 10000, 0.029220, 10003000, 10020995
reversed, 100000, 2.226049, 1000030000, 1000209995
randomized, 100, 0.000006, 658, 837
randomized, 1000, 0.000153, 54719, 56818
randomized, 10000, 0.012029, 5175313, 5196875
randomized, 100000, 1.144935, 502914512, 503132092
