order, n, time, comps, swaps
ordered, 100, 0.000025, 10000, 0
ordered, 1000, 0.001899, 1000000, 0
ordered, 10000, 0.146522, 100000000, 0
ordered, 100000, 14.655896, 10000000000, 0
reversed, 100, 0.000017, 10000, 0
reversed, 1000, 0.001557, 1000000, 0
reversed, 10000, 0.148023, 100000000, 0
reversed, 100000, 15.118312, 10000000000, 0
randomized, 100, 0.000026, 10000, 0
randomized, 1000, 0.002008, 1000000, 0
randomized, 10000, 0.296620, 100000000, 0
randomized, 100000, 32.913155, 10000000000, 0
